"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,1,0,0
0.9,0.9,1.4,1,1,5.83333333333333
0.9,0.9,1.4,1,2,9.9
0.9,0.9,1.4,1,3,12.9666666666667
0.9,0.9,1.4,1,4,15.4666666666667
0.9,0.9,1.4,1,5,19.2333333333333
0.9,0.9,1.4,1,6,27.6666666666667
0.9,0.9,1.4,1,7,39.7666666666667
0.9,0.9,1.4,1,8,53.4333333333333
0.9,0.9,1.4,1,9,66.4666666666667
0.9,0.9,1.4,1,10,78.6666666666667
0.9,0.9,1.4,1,11,94.9
0.9,0.9,1.4,1,12,112.9
0.9,0.9,1.4,1,13,133.266666666667
0.9,0.9,1.4,1,14,155.533333333333
0.9,0.9,1.4,1,15,181.133333333333
0.9,0.9,1.4,1,16,204.833333333333
0.9,0.9,1.4,1,17,231.633333333333
0.9,0.9,1.4,1,18,259.333333333333
0.9,0.9,1.4,1,19,290.233333333333
0.9,0.9,1.4,1,20,323.866666666667
0.9,0.9,1.4,1,21,358.966666666667
0.9,0.9,1.4,1,22,396.9
0.9,0.9,1.4,1,23,435.733333333333
0.9,0.9,1.4,1,24,474.666666666667
0.9,0.9,1.4,1,25,512.066666666667
0.9,0.9,1.4,1,26,555.7
0.9,0.9,1.4,1,27,600.2
0.9,0.9,1.4,1,28,648.7
0.9,0.9,1.4,1,29,693.633333333333
0.9,0.9,1.4,1,30,740.466666666667
0.9,0.9,1.4,1,31,783.833333333333
0.9,0.9,1.4,1,32,833.166666666667
0.9,0.9,1.4,1,33,879.9
0.9,0.9,1.4,1,34,927.066666666667
0.9,0.9,1.4,1,35,976.733333333333
0.9,0.9,1.4,1,36,1027.96666666667
0.9,0.9,1.4,1,37,1075.63333333333
0.9,0.9,1.4,1,38,1126.1
0.9,0.9,1.4,1,39,1176.96666666667
0.9,0.9,1.4,1,40,1223.6
0.9,0.9,1.4,1,41,1274.4
0.9,0.9,1.4,1,42,1327.06666666667
0.9,0.9,1.4,1,43,1377.06666666667
0.9,0.9,1.4,1,44,1428.16666666667
0.9,0.9,1.4,1,45,1481.8
0.9,0.9,1.4,1,46,1535.06666666667
0.9,0.9,1.4,1,47,1585.73333333333
0.9,0.9,1.4,1,48,1641.83333333333
0.9,0.9,1.4,1,49,1695.4
0.9,0.9,1.4,1,50,1749.86666666667
0.9,0.9,1.4,1,51,1803.43333333333
0.9,0.9,1.4,1,52,1858.2
0.9,0.9,1.4,1,53,1908.3
0.9,0.9,1.4,1,54,1952.6
0.9,0.9,1.4,1,55,2003.3
0.9,0.9,1.4,1,56,2048.7
0.9,0.9,1.4,1,57,2086.83333333333
0.9,0.9,1.4,1,58,2117.96666666667
0.9,0.9,1.4,1,59,2137.43333333333
0.9,0.9,1.4,1,60,2147.66666666667
0.9,0.9,1.4,1,61,2151.4
0.9,0.9,1.4,1,62,2145.7
0.9,0.9,1.4,1,63,2135.63333333333
0.9,0.9,1.4,1,64,2117.93333333333
0.9,0.9,1.4,1,65,2096.23333333333
0.9,0.9,1.4,1,66,2062.03333333333
0.9,0.9,1.4,1,67,2023
0.9,0.9,1.4,1,68,1979.1
0.9,0.9,1.4,1,69,1927.66666666667
0.9,0.9,1.4,1,70,1870.03333333333
0.9,0.9,1.4,1,71,1807.96666666667
0.9,0.9,1.4,1,72,1744.13333333333
0.9,0.9,1.4,1,73,1671.46666666667
0.9,0.9,1.4,1,74,1592.43333333333
0.9,0.9,1.4,1,75,1513.53333333333
0.9,0.9,1.4,1,76,1426.93333333333
0.9,0.9,1.4,1,77,1336.23333333333
0.9,0.9,1.4,1,78,1242.06666666667
0.9,0.9,1.4,1,79,1147.93333333333
0.9,0.9,1.4,1,80,1054.13333333333
0.9,0.9,1.4,1,81,957.166666666667
0.9,0.9,1.4,1,82,863.733333333333
0.9,0.9,1.4,1,83,775.633333333333
0.9,0.9,1.4,1,84,695.366666666667
0.9,0.9,1.4,1,85,619.1
0.9,0.9,1.4,1,86,550.5
0.9,0.9,1.4,1,87,489.666666666667
0.9,0.9,1.4,1,88,430.166666666667
0.9,0.9,1.4,1,89,374.366666666667
0.9,0.9,1.4,1,90,324.4
0.9,0.9,1.4,1,91,280
0.9,0.9,1.4,1,92,240.433333333333
0.9,0.9,1.4,1,93,205.566666666667
0.9,0.9,1.4,1,94,171.5
0.9,0.9,1.4,1,95,144.033333333333
0.9,0.9,1.4,1,96,117.766666666667
0.9,0.9,1.4,1,97,94.6666666666667
0.9,0.9,1.4,1,98,72.8333333333333
0.9,0.9,1.4,1,99,57.4
0.9,0.9,1.4,1,100,42.1333333333333
0.9,0.9,1.4,1,101,30.6333333333333
0.9,0.9,1.4,1,102,20.8666666666667
0.9,0.9,1.4,1,103,14.0333333333333
0.9,0.9,1.4,1,104,9.86666666666667
0.9,0.9,1.4,1,105,6.6
0.9,0.9,1.4,1,106,4.26666666666667
0.9,0.9,1.4,1,107,2.78571428571429
0.9,0.9,1.4,1,108,2.08
0.9,0.9,1.4,1,109,1.66666666666667
0.9,0.9,1.4,1,110,1.45
0.9,0.9,1.4,1,111,1.23529411764706
0.9,0.9,1.4,1,112,1.14285714285714
0.9,0.9,1.4,1,113,1
0.9,0.9,1.4,1,114,0.909090909090909
0.9,0.9,1.4,1,115,0.875
0.9,0.9,1.4,1,116,1.16666666666667
0.9,0.9,1.4,1,117,1
0.9,0.9,1.4,1,118,0.4
0.9,0.9,1.4,1,119,2
0.9,0.9,1.4,1,120,2
0.9,0.9,1.4,1,121,2
0.9,0.9,1.4,1,122,2
0.9,0.9,1.4,1,123,2
0.9,0.9,1.4,1,124,0
0.9,0.9,1.4,1.5,0,0
0.9,0.9,1.4,1.5,1,7.16666666666667
0.9,0.9,1.4,1.5,2,11.9666666666667
0.9,0.9,1.4,1.5,3,15.8
0.9,0.9,1.4,1.5,4,18.8666666666667
0.9,0.9,1.4,1.5,5,24.5666666666667
0.9,0.9,1.4,1.5,6,37.8666666666667
0.9,0.9,1.4,1.5,7,61.9666666666667
0.9,0.9,1.4,1.5,8,84.3333333333333
0.9,0.9,1.4,1.5,9,106.266666666667
0.9,0.9,1.4,1.5,10,130.533333333333
0.9,0.9,1.4,1.5,11,160.3
0.9,0.9,1.4,1.5,12,196.833333333333
0.9,0.9,1.4,1.5,13,235.4
0.9,0.9,1.4,1.5,14,278.466666666667
0.9,0.9,1.4,1.5,15,323.533333333333
0.9,0.9,1.4,1.5,16,372.366666666667
0.9,0.9,1.4,1.5,17,424.566666666667
0.9,0.9,1.4,1.5,18,485.066666666667
0.9,0.9,1.4,1.5,19,550.533333333333
0.9,0.9,1.4,1.5,20,618.033333333333
0.9,0.9,1.4,1.5,21,686.7
0.9,0.9,1.4,1.5,22,756.4
0.9,0.9,1.4,1.5,23,838.033333333333
0.9,0.9,1.4,1.5,24,928.833333333333
0.9,0.9,1.4,1.5,25,1018.83333333333
0.9,0.9,1.4,1.5,26,1104.73333333333
0.9,0.9,1.4,1.5,27,1198
0.9,0.9,1.4,1.5,28,1293.76666666667
0.9,0.9,1.4,1.5,29,1387.73333333333
0.9,0.9,1.4,1.5,30,1496.1
0.9,0.9,1.4,1.5,31,1602.1
0.9,0.9,1.4,1.5,32,1699.73333333333
0.9,0.9,1.4,1.5,33,1796.56666666667
0.9,0.9,1.4,1.5,34,1899.83333333333
0.9,0.9,1.4,1.5,35,2008.7
0.9,0.9,1.4,1.5,36,2117.36666666667
0.9,0.9,1.4,1.5,37,2228.13333333333
0.9,0.9,1.4,1.5,38,2333.06666666667
0.9,0.9,1.4,1.5,39,2433.33333333333
0.9,0.9,1.4,1.5,40,2522
0.9,0.9,1.4,1.5,41,2601.33333333333
0.9,0.9,1.4,1.5,42,2670.8
0.9,0.9,1.4,1.5,43,2717.93333333333
0.9,0.9,1.4,1.5,44,2749.23333333333
0.9,0.9,1.4,1.5,45,2767.43333333333
0.9,0.9,1.4,1.5,46,2776.8
0.9,0.9,1.4,1.5,47,2771.53333333333
0.9,0.9,1.4,1.5,48,2752.33333333333
0.9,0.9,1.4,1.5,49,2716.8
0.9,0.9,1.4,1.5,50,2670.03333333333
0.9,0.9,1.4,1.5,51,2616.53333333333
0.9,0.9,1.4,1.5,52,2550.83333333333
0.9,0.9,1.4,1.5,53,2472.46666666667
0.9,0.9,1.4,1.5,54,2387.73333333333
0.9,0.9,1.4,1.5,55,2287.8
0.9,0.9,1.4,1.5,56,2176.13333333333
0.9,0.9,1.4,1.5,57,2060.03333333333
0.9,0.9,1.4,1.5,58,1940.1
0.9,0.9,1.4,1.5,59,1818.06666666667
0.9,0.9,1.4,1.5,60,1687.7
0.9,0.9,1.4,1.5,61,1549.56666666667
0.9,0.9,1.4,1.5,62,1408.8
0.9,0.9,1.4,1.5,63,1263.9
0.9,0.9,1.4,1.5,64,1126.66666666667
0.9,0.9,1.4,1.5,65,990.366666666667
0.9,0.9,1.4,1.5,66,864.033333333333
0.9,0.9,1.4,1.5,67,743.766666666667
0.9,0.9,1.4,1.5,68,637.1
0.9,0.9,1.4,1.5,69,540.666666666667
0.9,0.9,1.4,1.5,70,451.7
0.9,0.9,1.4,1.5,71,371.666666666667
0.9,0.9,1.4,1.5,72,304.5
0.9,0.9,1.4,1.5,73,245.533333333333
0.9,0.9,1.4,1.5,74,193.533333333333
0.9,0.9,1.4,1.5,75,148.533333333333
0.9,0.9,1.4,1.5,76,108.3
0.9,0.9,1.4,1.5,77,78.2333333333333
0.9,0.9,1.4,1.5,78,55.9666666666667
0.9,0.9,1.4,1.5,79,36.6
0.9,0.9,1.4,1.5,80,24
0.9,0.9,1.4,1.5,81,15.5666666666667
0.9,0.9,1.4,1.5,82,10.2
0.9,0.9,1.4,1.5,83,6.9
0.9,0.9,1.4,1.5,84,5
0.9,0.9,1.4,1.5,85,4.07142857142857
0.9,0.9,1.4,1.5,86,2.96296296296296
0.9,0.9,1.4,1.5,87,2.5
0.9,0.9,1.4,1.5,88,2
0.9,0.9,1.4,1.5,89,1.30434782608696
0.9,0.9,1.4,1.5,90,1.27777777777778
0.9,0.9,1.4,1.5,91,0.928571428571429
0.9,0.9,1.4,1.5,92,0.833333333333333
0.9,0.9,1.4,1.5,93,0.777777777777778
0.9,0.9,1.4,1.5,94,1
0.9,0.9,1.4,1.5,95,1.2
0.9,0.9,1.4,1.5,96,0.4
0.9,0.9,1.4,1.5,97,0.5
0.9,0.9,1.4,1.5,98,1
0.9,0.9,1.4,1.5,99,0
0.9,0.9,1.4,2,0,0
0.9,0.9,1.4,2,1,6.26666666666667
0.9,0.9,1.4,2,2,10.7
0.9,0.9,1.4,2,3,15.2333333333333
0.9,0.9,1.4,2,4,19.8
0.9,0.9,1.4,2,5,26.1333333333333
0.9,0.9,1.4,2,6,41.9333333333333
0.9,0.9,1.4,2,7,66.4333333333333
0.9,0.9,1.4,2,8,96.4333333333333
0.9,0.9,1.4,2,9,131.433333333333
0.9,0.9,1.4,2,10,169.9
0.9,0.9,1.4,2,11,212.6
0.9,0.9,1.4,2,12,274.033333333333
0.9,0.9,1.4,2,13,341.666666666667
0.9,0.9,1.4,2,14,413.766666666667
0.9,0.9,1.4,2,15,494.233333333333
0.9,0.9,1.4,2,16,580.466666666667
0.9,0.9,1.4,2,17,673.766666666667
0.9,0.9,1.4,2,18,777.4
0.9,0.9,1.4,2,19,887.966666666667
0.9,0.9,1.4,2,20,999.7
0.9,0.9,1.4,2,21,1123.36666666667
0.9,0.9,1.4,2,22,1257.2
0.9,0.9,1.4,2,23,1395.46666666667
0.9,0.9,1.4,2,24,1544.2
0.9,0.9,1.4,2,25,1696
0.9,0.9,1.4,2,26,1849.13333333333
0.9,0.9,1.4,2,27,2011.5
0.9,0.9,1.4,2,28,2188.63333333333
0.9,0.9,1.4,2,29,2362.7
0.9,0.9,1.4,2,30,2541.83333333333
0.9,0.9,1.4,2,31,2710.26666666667
0.9,0.9,1.4,2,32,2863.16666666667
0.9,0.9,1.4,2,33,2987.26666666667
0.9,0.9,1.4,2,34,3092
0.9,0.9,1.4,2,35,3178.36666666667
0.9,0.9,1.4,2,36,3243.6
0.9,0.9,1.4,2,37,3276.06666666667
0.9,0.9,1.4,2,38,3279.8
0.9,0.9,1.4,2,39,3267.43333333333
0.9,0.9,1.4,2,40,3235.43333333333
0.9,0.9,1.4,2,41,3183
0.9,0.9,1.4,2,42,3114.76666666667
0.9,0.9,1.4,2,43,3029.36666666667
0.9,0.9,1.4,2,44,2931.23333333333
0.9,0.9,1.4,2,45,2821.9
0.9,0.9,1.4,2,46,2702.96666666667
0.9,0.9,1.4,2,47,2573.23333333333
0.9,0.9,1.4,2,48,2433.46666666667
0.9,0.9,1.4,2,49,2285.5
0.9,0.9,1.4,2,50,2131.83333333333
0.9,0.9,1.4,2,51,1976.46666666667
0.9,0.9,1.4,2,52,1809.8
0.9,0.9,1.4,2,53,1631.16666666667
0.9,0.9,1.4,2,54,1454.4
0.9,0.9,1.4,2,55,1268.53333333333
0.9,0.9,1.4,2,56,1091.2
0.9,0.9,1.4,2,57,919.066666666667
0.9,0.9,1.4,2,58,764.133333333333
0.9,0.9,1.4,2,59,626.8
0.9,0.9,1.4,2,60,501.2
0.9,0.9,1.4,2,61,390.033333333333
0.9,0.9,1.4,2,62,299.566666666667
0.9,0.9,1.4,2,63,225.533333333333
0.9,0.9,1.4,2,64,164.033333333333
0.9,0.9,1.4,2,65,116.766666666667
0.9,0.9,1.4,2,66,80.6333333333333
0.9,0.9,1.4,2,67,54.1
0.9,0.9,1.4,2,68,37.0333333333333
0.9,0.9,1.4,2,69,24.6666666666667
0.9,0.9,1.4,2,70,16.1
0.9,0.9,1.4,2,71,11.1
0.9,0.9,1.4,2,72,7.3
0.9,0.9,1.4,2,73,5.92857142857143
0.9,0.9,1.4,2,74,4.32142857142857
0.9,0.9,1.4,2,75,2.96428571428571
0.9,0.9,1.4,2,76,2.07692307692308
0.9,0.9,1.4,2,77,1.24
0.9,0.9,1.4,2,78,1.21052631578947
0.9,0.9,1.4,2,79,1
0.9,0.9,1.4,2,80,1
0.9,0.9,1.4,2,81,0.9
0.9,0.9,1.4,2,82,1
0.9,0.9,1.4,2,83,1
0.9,0.9,1.4,2,84,1.16666666666667
